# ell TT TE EE BB
310 2.369507e-01 7.623952e-03 7.011176e-04 2.098637e-06
311 2.332955e-01 7.571487e-03 7.083987e-04 2.094327e-06
312 2.296858e-01 7.517105e-03 7.155944e-04 2.089979e-06
313 2.261216e-01 7.460847e-03 7.227024e-04 2.085595e-06
314 2.226027e-01 7.402754e-03 7.297205e-04 2.081177e-06
315 2.191290e-01 7.342868e-03 7.366466e-04 2.076725e-06
316 2.157002e-01 7.281232e-03 7.434787e-04 2.072241e-06
317 2.123163e-01 7.217887e-03 7.502148e-04 2.067726e-06
318 2.089771e-01 7.152876e-03 7.568527e-04 2.063181e-06
319 2.056823e-01 7.086239e-03 7.633903e-04 2.058608e-06
320 2.024320e-01 7.018020e-03 7.698256e-04 2.054008e-06
321 1.992258e-01 6.948261e-03 7.761565e-04 2.049382e-06
322 1.960637e-01 6.877003e-03 7.823809e-04 2.044732e-06
323 1.929455e-01 6.804288e-03 7.884967e-04 2.040058e-06
324 1.898711e-01 6.730159e-03 7.945018e-04 2.035363e-06
325 1.868402e-01 6.654657e-03 8.003943e-04 2.030647e-06
326 1.838527e-01 6.577824e-03 8.061719e-04 2.025911e-06
327 1.809085e-01 6.499703e-03 8.118326e-04 2.021158e-06
328 1.780074e-01 6.420335e-03 8.173743e-04 2.016388e-06
329 1.751492e-01 6.339762e-03 8.227950e-04 2.011602e-06
330 1.723338e-01 6.258027e-03 8.280926e-04 2.006802e-06
331 1.695611e-01 6.175171e-03 8.332649e-04 2.001989e-06
332 1.668309e-01 6.091237e-03 8.383100e-04 1.997165e-06
333 1.641429e-01 6.006266e-03 8.432256e-04 1.992330e-06
334 1.614971e-01 5.920301e-03 8.480098e-04 1.987486e-06
335 1.588934e-01 5.833382e-03 8.526605e-04 1.982635e-06
336 1.563315e-01 5.745554e-03 8.571756e-04 1.977776e-06
337 1.538112e-01 5.656856e-03 8.615529e-04 1.972913e-06
338 1.513325e-01 5.567332e-03 8.657905e-04 1.968046e-06
339 1.488952e-01 5.477024e-03 8.698862e-04 1.963176e-06
340 1.464991e-01 5.385973e-03 8.738380e-04 1.958305e-06
341 1.441441e-01 5.294221e-03 8.776437e-04 1.953434e-06
342 1.418299e-01 5.201811e-03 8.813014e-04 1.948564e-06
343 1.395565e-01 5.108784e-03 8.848089e-04 1.943697e-06
344 1.373237e-01 5.015183e-03 8.881641e-04 1.938834e-06
345 1.351314e-01 4.921049e-03 8.913650e-04 1.933975e-06
346 1.329793e-01 4.826424e-03 8.944094e-04 1.929123e-06
347 1.308673e-01 4.731351e-03 8.972954e-04 1.924279e-06
348 1.287953e-01 4.635871e-03 9.000207e-04 1.919444e-06
349 1.267630e-01 4.540026e-03 9.025839e-04 1.914619e-06
350 1.247702e-01 4.443849e-03 9.049848e-04 1.909804e-06
351 1.228164e-01 4.347374e-03 9.072240e-04 1.905002e-06
352 1.209013e-01 4.250634e-03 9.093020e-04 1.900213e-06
353 1.190245e-01 4.153663e-03 9.112192e-04 1.895437e-06
354 1.171856e-01 4.056494e-03 9.129761e-04 1.890675e-06
355 1.153843e-01 3.959160e-03 9.145732e-04 1.885929e-06
356 1.136201e-01 3.861694e-03 9.160109e-04 1.881198e-06
357 1.118927e-01 3.764130e-03 9.172898e-04 1.876485e-06
358 1.102017e-01 3.666501e-03 9.184102e-04 1.871789e-06
359 1.085467e-01 3.568840e-03 9.193727e-04 1.867111e-06
360 1.069274e-01 3.471181e-03 9.201777e-04 1.862453e-06
361 1.053434e-01 3.373557e-03 9.208257e-04 1.857814e-06
362 1.037943e-01 3.276001e-03 9.213172e-04 1.853197e-06
363 1.022797e-01 3.178546e-03 9.216526e-04 1.848601e-06
364 1.007992e-01 3.081226e-03 9.218325e-04 1.844028e-06
365 9.935251e-02 2.984074e-03 9.218573e-04 1.839478e-06
366 9.793920e-02 2.887123e-03 9.217274e-04 1.834952e-06
367 9.655891e-02 2.790406e-03 9.214433e-04 1.830451e-06
368 9.521126e-02 2.693958e-03 9.210056e-04 1.825976e-06
369 9.389587e-02 2.597810e-03 9.204147e-04 1.821528e-06
370 9.261236e-02 2.501997e-03 9.196710e-04 1.817107e-06
371 9.136035e-02 2.406552e-03 9.187750e-04 1.812714e-06
372 9.013948e-02 2.311507e-03 9.177272e-04 1.808350e-06
373 8.894935e-02 2.216897e-03 9.165281e-04 1.804016e-06
374 8.778960e-02 2.122754e-03 9.151782e-04 1.799713e-06
375 8.665984e-02 2.029112e-03 9.136779e-04 1.795441e-06
376 8.555970e-02 1.936005e-03 9.120276e-04 1.791201e-06
377 8.448880e-02 1.843464e-03 9.102279e-04 1.786995e-06
378 8.344677e-02 1.751524e-03 9.082793e-04 1.782823e-06
379 8.243323e-02 1.660218e-03 9.061821e-04 1.778685e-06
380 8.144779e-02 1.569580e-03 9.039369e-04 1.774583e-06
381 8.049009e-02 1.479641e-03 9.015442e-04 1.770517e-06
382 7.955975e-02 1.390437e-03 8.990044e-04 1.766489e-06
383 7.865638e-02 1.302000e-03 8.963180e-04 1.762498e-06
384 7.777962e-02 1.214363e-03 8.934854e-04 1.758547e-06
385 7.692908e-02 1.127559e-03 8.905072e-04 1.754635e-06
386 7.610439e-02 1.041623e-03 8.873838e-04 1.750763e-06
387 7.530516e-02 9.565863e-04 8.841157e-04 1.746933e-06
